config,quant,k,prompt,command,expected,exact_match,formatting,syntax_valid,overall
Q3_K_M:2,Q3_K_M,2,"Convert the image ""photo.png"" to a JPEG with 80% quality using ImageMagick.",convert photo.png -quality 80 photo.jpg,convert photo.png -quality 80 photo.jpg,True,True,True,5
Q3_K_M:2,Q3_K_M,2,"Using find, locate all .sh files that contain the string ""TODO"", replace it with ""DONE"" in‑place, and create a backup of each modified file with a .bak extension.","find . -type f -name ""*.sh"" -exec grep -l ""TODO"" {} \; -print0 | while IFS= read -r -d '' file; do
  backup_file=""${file}.bak""
  cp ""$file"" ""$backup_file""
  sed -i ""s/TODO/DONE/g"" ""$file""
done","find . -type f -name ""*.sh"" -exec grep -l ""TODO"" {} + | while read -r f; do cp ""$f"" ""$f.bak""; sed -i 's/TODO/DONE/g' ""$f""; done",False,True,True,4
Q3_K_M:2,Q3_K_M,2,"Download a file with progress bar and resume capability from ""https://example.com/large.iso"".",wget --progress=bar --continue https://example.com/large.iso,wget -c https://example.com/large.iso,False,True,True,3
Q3_K_M:2,Q3_K_M,2,Sort the contents of unsorted.txt alphabetically and remove duplicates.,sort -u unsorted.txt,sort -u unsorted.txt > sorted_unique.txt,False,True,True,5
Q3_K_M:2,Q3_K_M,2,Show the 10 most recent entries in the system journal,journalctl -n 10,journalctl -n 10 --no-pager,False,True,True,4
Q3_K_M:2,Q3_K_M,2,Show the current load averages,cat /proc/loadavg,cat /proc/loadavg,True,True,True,5
Q3_K_M:2,Q3_K_M,2,Create RAM disk 1G,sudo mount -t tmpfs -o size=1G tmpfs /mnt/ramdisk,sudo mkdir -p /mnt/ram && sudo mount -t tmpfs -o size=1G tmpfs /mnt/ram,False,True,True,3
Q3_K_M:2,Q3_K_M,2,Create alias ll for ls -la,alias ll='ls -la',$ alias ll='ls -la',False,True,True,5
Q3_K_M:2,Q3_K_M,2,Display the first 10 lines of a file named data.log,head -n 10 data.log,head -n 10 data.log,True,True,True,5
Q3_K_M:2,Q3_K_M,2,"Download a file from ""https://example.com/file.tar.gz"" using wget",wget https://example.com/file.tar.gz,wget https://example.com/file.tar.gz,True,True,True,5
